streamflow,JPO4,JPON,JPOP,PO4JRES,PO4T2R,POPR,baseflow,%sat_area,evap,sat_def,snowpack,trans,missisquoi_Q,missisquoi_TP,missisquoi_TN,pike_Q,pike_TP,pike_TN,rock_Q,rock_TP,rock_TN,basin_TP_gps,basin_TN_gps,RandomNum,CHLAClass,ipsl-cm5a-mr.1,miroc-esm-chem.1,mri-cgcm3.1,noresm1-m.1,canesm2.1,ccsm4.1,gfdl-esm2m.1,inmcm4.1,miroc-esm.1,rcp45,rcp60,rcp85,rcp26,0_redux,100_redux,20_redux,40_redux,60_redux,64_redux,80_redux,S0_redux,S1_redux,S2_redux,S3_redux,S4_redux
13.345433667824071,13.839871867669286,9.052050823787992,2.7742384369138904,0.0,267376.3463541667,0.1349080041390385,0.772069,1.241368,0.788028,153.836049,1.134465,0.0,13.61778945696334,0.0460307260160223,0.5944922523607652,3.102787471206837,0.0460307260160223,0.5944922523607652,0.5171312452011394,0.0460307260160223,0.5944922523607652,0.7934642220726046,10.247683957525084,0.9946275235915354,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.079330252129628,0.8867181626012285,3.523891909231099,0.4911912930526321,0.0,161713.30162432554,0.1315581936666147,0.657071,1.222382,0.546718,164.62821499999998,1.136702,0.050115,8.244214542989416,0.0176676717978351,0.5896639340933123,1.8784286300482207,0.0176676717978351,0.5896639340933123,0.3130714383413702,0.0176676717978351,0.5896639340933123,0.1843747807297169,6.153564532820808,0.3477760645793692,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50.94683105435186,5.069613019339473,10.101483047723198,2.144874878567186,0.0,173893.53636465827,0.1355982078887004,1.629182,1.456106,1.018189,116.011052,0.371204,0.0,51.98656230035904,0.0431547314212676,0.6289677458237416,11.84503951147421,0.0431547314212676,0.6289677458237416,1.9741732519123685,0.0431547314212676,0.6289677458237416,2.839830548844294,41.389710004028274,0.9594243199907638,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.89673693736111,5.251482531035261,5.694157056099505,1.1693833726916096,0.0,143799.12881257493,0.126654056461452,0.58121,0.985959,1.989666,189.859204,1.135257,0.0,19.282384629960315,0.0180830295166362,0.5995820610615582,4.393454725813743,0.0180830295166362,0.5995820610615582,0.7322424543022904,0.0180830295166362,0.5995820610615582,0.4413720638160831,14.634647998244706,0.712194011287771,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.31907033324074,0.5534667550302523,4.586953183729872,0.4048790560423327,0.0,81550.59182966127,0.1029794729924459,0.933054,1.322018,0.762844,153.206353,1.135874,0.0,20.73374523800076,0.0061376789304736,0.6008861521087008,4.724144484607767,0.0061376789304736,0.6008861521087008,0.7873574141012945,0.0061376789304736,0.6008861521087008,0.1610849003760577,15.77040556311946,0.059642449899824,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
58.167532307962965,1.6423267271878907,6.205995656889406,1.0283033702727988,0.0,181883.7116400629,0.132025257682057,1.652897,1.47636,1.593017,126.15274,1.135845,0.0,59.35462480404384,0.0462671118723468,0.6355881710251775,13.5238385629467,0.0462671118723468,0.6355881710251775,2.2539730938244493,0.0462671118723468,0.6355881710251775,3.4761608429745183,47.753287874794765,0.1104919156979515,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
106.98365085967592,5.145561148294156,8.091529982267238,1.8132068693494912,0.0,48124.15683898194,0.0959332785222956,2.420948,1.486794,2.894495,118.65096,1.137109,0.0,109.16699067313871,0.0,0.6803460761295353,24.87349154577844,0.0,0.6803460761295353,4.145581924296407,0.0,0.6803460761295353,0.0,94.01434651561964,0.3462933156154063,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
294.657603382963,0.8624977319360637,8.172997624468174,2.633123147401878,0.0,171880.9221934952,0.1387475418637124,4.108234,1.591585,0.514101,80.858492,0.663625,0.0,300.6710238601663,0.1847624797932724,0.8524181950690752,68.5073218921898,0.1847624797932724,0.8524181950690752,11.41788698203163,0.1847624797932724,0.8524181950690752,70.31990375998292,324.4271537575365,0.4116326231179584,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.569906907129628,0.9130000747400794,13.512168216476624,24.900223366648174,0.0,267984.5130208333,0.1286760617395956,0.620893,1.029536,0.070619,191.962556,176.874056,0.017466,6.703986639928192,0.0254791421894151,0.5882799931155747,1.5274906268190815,0.0254791421894151,0.5882799931155747,0.2545817711365136,0.0254791421894151,0.5882799931155747,0.2162175048540121,4.992178752384635,0.9465666410143686,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
53.39988583578704,0.7706909695689341,6.79120320210354,0.7074593642203928,0.0,95390.51832284172,0.1252049888423878,1.270541,1.211457,1.462373,141.553192,1.135656,0.0,54.48967942427249,0.0,0.6312168716530915,12.415369995403855,0.0,0.6312168716530915,2.069228332567309,0.0,0.6312168716530915,0.0,43.53772782730267,0.148709209348221,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
37.628407744907406,1.573766682502463,6.5667173856739804,1.896625614423546,0.0,191647.8961330935,0.1275372404149539,1.328632,1.3851129999999998,0.8283780000000001,137.478573,0.013478,0.0,38.396334433578986,0.0375875347412976,0.6167565183786037,8.748531896258502,0.0375875347412976,0.6167565183786037,1.458088649376417,0.0375875347412976,0.6167565183786037,1.826865258810926,29.976189295891984,0.1157999393968375,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
67.83454211777779,3.556232926513937,7.598781942463607,1.0142385522238642,0.0,62492.37823178957,0.119663473424151,2.375152,1.465476,0.5670930000000001,112.719808,1.136437,0.130189,69.21892052834468,0.0,0.6444515366623336,15.771399614053218,0.0,0.6444515366623336,2.6285666023422025,0.0,0.6444515366623336,0.0,56.46612620329073,0.778013705830709,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25.89124871481481,21.74694216308548,8.598181607911913,2.622103666373008,0.0,182090.92318645085,0.1357033046887075,1.043903,1.33773,0.972179,139.048924,0.371204,0.0,26.4196415457294,0.0328678623593794,0.6059951005180843,6.01966516231809,0.0328678623593794,0.6059951005180843,1.003277527053015,0.0328678623593794,0.6059951005180843,1.099186255581238,20.266042195134222,0.0142367920732585,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
